id,recipename_id,NumStep,StepDesc
66,21,2,Preheat oven to 200¬8C (390¬8F). 
67,21,3,"Roll out pastry to 5 mm thickness and the size of the pie dish. Brush rim of dish with a little milk, then drape pastry over, pressing edges firmly onto the rim of the dish. Brush pastry lid with a little more milk and bake for 20 minutes. Serve with your favourite green vegetables."
68,22,1,"Heat oil in a large heavy-based saucepan over high heat. Add onion and garlic and cook for 5 minutes, or until onion is golden. Add spices and lamb, then mix well and cook for 6‚Äì8 minutes, or until lamb begins to cook and change colour. Stir through yoghurt, then tomato. Add spinach and water, then reduce heat to medium and cook for 40 minutes, or until meat is tender. "
69,22,2,"Stir through mint and coriander and serve with rice from your daily bread allowance, if desired."
70,23,1,Mix marinade ingredients and pour into a shallow dish. Add meat and turn to coat thoroughly. Cover and allow to marinate for 30 minutes.
71,23,2,Preheat oven to 180¬8C (350¬8F).
72,23,3,Place fennel and onion in a baking dish and drizzle with oil. Bake for 20 minutes.
73,23,4,"Meanwhile, preheat grill plate or barbecue grill to hot.Add cutlets and cook for 1 minute each side, or until doneto your liking. Set aside to rest."
74,23,5,Toss spinach leaves through hot vegetables and lightly season. Arrange on serving plates and top with cutlets.
75,24,1,Preheat oven to 180¬8C (350¬8F).
76,24,2,Pat fish dry with paper towel. Brush with half the oil and season with pepper. Arrange fish in a single layer in a baking dish.
77,24,3,"In a bowl, mix remaining ingredients to a loose paste. Spread paste evenly over top of fish. Seal baking dish with foil. Bake for 10‚Äì15 minutes, or until cooked ‚Äì when cooked, the flesh will flake away easily when pressed with a fork."
78,24,4,Serve with green vegetables or salad.
79,25,1,"Preheat oven to 170¬8C (340¬8F). Lightly grease 4 small (or 1 large), shallow ovenproof dishes."
80,25,2,"Heat oil in a large non-stick frying pan over medium heat. Add onion and bacon and cook for 5 minutes, or until onion is soft. Add mushrooms and cook for a further 2 minutes. Remove from heat and allow to cool."
81,25,3,"In a bowl, lightly whisk together eggs, yoghurt and mustard powder. Add cheese, parsley and the bacon mix, and stir to combine. Pour into prepared dishes and arrange slices of tomato on top. Bake for 12‚Äì15 minutes, or until firm to the touch. (One large bake will need 20‚Äì25 minutes cooking time.) Serve with a large green salad."
82,26,1,Preheat oven to 180¬8C (350¬8F).
83,26,2,Place chicken in an ovenproof baking dish and sprinkle tomato over.
84,26,3,"In a bowl, mix remaining ingredients. Pour mixture over chicken and cover dish with a lid or piece of foil. Bake for 45 minutes."
85,26,4,Serve with vegetables or salad.
86,27,1,Preheat oven to 160¬8C (325¬8F).
87,27,2,"Heat a large, enamelled cast-iron casserole over high heat. Coat shanks with oil and cook, turning occasionally, for 10 minutes, or until well-browned. Remove shanks to a plate."
88,27,3,"Add garlic, onion and celery to the casserole and cook for 5 minutes, or until soft. Add wine, stock, lemon zest, parsley stalks and bay leaves and bring to a boil. Return shanks to casserole and lightly season. Cover with lid and cook, in the oven, for 1¬O‚Äì2 hours, or until meat begins to fall off the bone. "
89,27,4,"Check seasoning, then garnish with parsley. Serve with steamed vegetables."
90,28,1,Preheat oven to 180¬8C (350¬8F).
91,28,2,"Cook onions in oil in a saucepan over medium heat, stirring occasionally, for 30 minutes, or until soft. Add balsamic vinegar and cook for a further 5 minutes, or until mixture is sticky. Season to taste."
92,28,3,Heat a large non-stick frying pan over high heat and sear fillet on all sides. Transfer meat to a baking dish.
93,28,4,"Place mushrooms in a second baking dish, then pour over wine and lightly season. Cover with foil. Place both dishes in oven and bake for 15 minutes. Remove beef from oven, cover with foil and set aside to rest for 10 minutes. At the same time, remove foil from mushrooms and bake for a further 10 minutes."
94,28,5,"Cut meat into four pieces and serve with rocket leaves, caramelised onions and mushrooms."
95,29,1,"Heat half the oil in a large heavy-based saucepan over high heat. Add mince in two batches and cook for 5 minutes, or until just browned. Transfer to a large bowl. Add remaining oil to pan, along with onion and garlic, and cook for 10 minutes, or until golden. Return mince to pan, add tomato paste and stir well. Add stock and bring to a boil. Reduce heat and simmer for 35 minutes. Stir in spinach and season with freshly ground black pepper."
96,29,2,"Meanwhile, preheat oven to 200¬8C (390¬8F). Lightly spray eggplant slices with oil and bake for 15 minutes, or until golden."
97,29,3,"Lay eggplant slices on your work surface and spoon beef mixture down the centre of each. Roll up eggplant slices. You should now have 12 eggplant ‚Äòcannelloni‚Äô. Transfer to an ovenproof dish, pour over tomato passata and sprinkle with parmesan. Bake for 10 minutes. "
98,29,4,Serve with a crisp side salad.
99,30,1,"Lightly toast bread, then cut into 2 cm squares to make croutons and set aside."
100,30,2,"Divide cos leaves among 4 serving plates. Cut chicken into thick slices and place on top. Sprinkle with bacon, egg, croutons and parmesan. Drizzle with dressing and serve immediately."
101,31,1,Mix all marinade ingredients in a large ceramic bowl. Add chicken and toss to coat thoroughly. Cover bowl and refrigerate for 30 minutes.
102,31,2,"Preheat a grill plate or barbecue grill to high and cook chicken for 5 minutes each side, or until cooked through. Remove chicken and set aside. Cook lemons, flesh-side down, for 3 minutes."
103,31,3,"Meanwhile, toss together all salad ingredients and divide among 4 plates. Slice chicken and arrange on top of the salad, and serve with a charred lemon half on the side of each plate."
104,32,1,"In a small bowl, whisk together all dressing ingredients."
105,32,2,"Toss remaining ingredients together in a large bowl. Pour dressing over, toss and season to taste."
106,33,1,"Preheat a grill plate or barbecue grill to high. Rub redcurrant jelly into the pork using your fingers, then transfer immediately to the grill plate and cook for 4 minutes each side, or until browned and cooked through. Set aside for 5 minutes."
107,33,2,"Place avocado, orange, beetroot, rocket, mint and onion in a bowl and toss lightly. Drizzle with oil and lemon juice. "
108,33,3,Serve pork cutlets with salad alongside.
109,34,1,"Heat a frying pan over medium heat. Coat pork fillet with oil and cook for 12 minutes, turning to brown entire surface. Set aside for 10 minutes to rest."
110,34,2,"Meanwhile, mix fish sauce with lime juice and sugar in a small bowl."
111,34,3,"Thinly slice meat and place in a serving bowl with garlic, ginger, chilli, lime leaves, beansprouts, capsicum, noodles and mint and coriander leaves. Pour dressing over salad and toss well."
112,35,1,"In a large bowl, combine garlic, lemon juice, chilli and buttermilk. Add chicken and turn to coat thoroughly. Cover bowl and allow chicken to marinate for 30 minutes. "
113,35,2,"If using bamboo skewers, soak them in hot water for 30 minutes before use."
114,35,3,Preheat a grill plate or barbecue grill to high.
115,35,4,Thread chicken pieces onto 8 skewers. Grill for 2 minutes each side- 8 minutes in total - or until cooked through.
116,35,5,Serve skewers with a large helping of your favourite salad or steamed vegetables.
117,36,1,Preheat oven to 200¬8C (400¬8F).
118,36,2,"Place pumpkin, carrot, zucchini and onions in a large, shallow baking dish, then add half the oil and toss to coat."
119,36,3,"Mix the mustard, spring onion, zest, juice and remaining oil in a bowl. Place veal on a wire rack set over vegetables, and coat meat with mustard mixture. Roast, uncovered, for 40 minutes, or until veal is cooked to your liking. Remove meat from oven, cover loosely with foil and set aside to rest for 10 minutes before carving."
120,36,4,Serve veal with roasted vegetables.
121,37,1,Preheat oven to 180¬8C (350¬8F).
122,37,2,"Heat a large enamelled cast-iron casserole over high heat. Coat lamb with oil and cook, in small batches, for 5 minutes, or until browned. Remove from pan and set aside. Add onion, carrot and celery to pan and cook for 5 minutes, or until soft. Return lamb to pan, then add garlic, red wine and tomato paste and cook for a further 5 minutes. Add stock, bay leaf, rosemary and enough water to ensure lamb is covered. Cover with lid and bake in oven for 1 hour."
123,37,3,Add parsnip and cook for a further 40 minutes.
124,37,4,Serve sprinkled with parsley.
125,38,1,"Preheat oven to 200¬8C (400¬8F). In a bowl, mix half the oil with herbs, garlic and lemon zest."
126,38,2,"Heat a large frying pan over high heat. Coat lamb in remaining oil and sear until golden on both sides. Transfer to a baking dish and rub herb mixture into rack. Add onions to dish and bake for 25 minutes. Remove meat from oven, cover loosely with foil and set aside to rest for 10 minutes."
127,38,3,"Bring a large saucepan of lightly salted water to a boil. Cook carrots for 2 minutes, then add beans and peas and cook for a further 4 minutes. Drain and serve with lamb."
128,39,1,Preheat oven to 170¬8C (330¬8F). Grease a small baking dish with a little oil.
129,39,2,Place pumpkin in a bowl with 1 teaspoon oil and soy sauce and toss to coat. Tip pumpkin onto a baking tray and roast for25 minutes.
130,39,3,"Heat remaining oil in a frying pan over medium heat. Add leek and cook for 5 minutes, or until soft. Add garlic and spinach leaves and cook until spinach has wilted. Tip mixture onto work surface and chop roughly. Season to taste with pepper."
131,39,4,"Whisk eggs, yoghurt and cheese together lightly in a large bowl. Add pumpkin and spinach mixture and gently stir to combine. Pour mixture into prepared dish and bake in oven for 20 minutes, or until set. Serve with a salad."
132,40,1,"Mix marinade ingredients in a shallow dish. Add lamb, turning to coat thoroughly. Lightly season, then cover with plastic wrap and refrigerate for anywhere from 2 hours up to overnight ‚Äì the longer you leave it, the better the result."
133,40,2,"If using bamboo skewers, soak in hot water for 30 minutes prior to use."
134,40,3,Preheat grill plate or barbecue grill to high.
135,40,4,Thread lamb onto eight skewers. Grill for 2 minutes each side ‚Äì 8 minutes in total¬ø‚Äì¬øor until done to your liking.
136,40,5,"Meanwhile, combine all tzatziki ingredients in a bowl and lightly season.  Serve alongside kebabs and offer a salad."
137,41,1,Preheat a grill plate or barbecue grill to high. Pour egg onto a large dinner plate. Scatter flour over a second dinner plate. Combine polenta and parsley on a third dinner plate.
138,41,2,"Crumb chops by coating them with flour, then dipping them in beaten egg, then coating them with the polenta and parsley mixture. Spray chops lightly with oil and grill for 5 minutes each side, or until golden."
139,41,3,"Meanwhile, heat oil in a large non-stick frying pan over high heat. Add zucchini, tomatoes and onion and cook for 2 minutes. Stir in basil and feta, and season to taste. Serve with the chops."
140,42,1,"In a small non-stick frying pan, lightly toast saffron. Transfer to a cup, then crush and add paprika and boiling water. Stir to dissolve and set aside"
141,42,2,"Heat oil in a large heavy-based frying pan over medium heat. Add garlic and onion and cook for 5 minutes, or until soft. Add tomato and cook for 3 minutes. Add rice and cook, stirring to combine, for a further 5 minutes."
142,42,3,"Meanwhile, bring stock to a boil in a saucepan. Add stock and saffron liquid to rice mixture, stirring well to combine. Simmer, uncovered, for 15 minutes. Place fish, prawns, mussels and calamari on top of rice. Cover frying pan with foil and cook for a further 10 minutes. Add peas, re-cover pan, and cook for a final 5 minutes. Sprinkle paella with parsley and season with pepper. Serve with wedges of lemon and offer a green salad on the side."
143,43,1,"Bring stock to a boil in a saucepan. Add star anise and orange zest, then reduce heat to simmer and allow to infuse for a few minutes. Add meat and bring to the boil. Remove from heat and set aside to gently cook for 15 mintues ‚Äì meat should remain rare in the centre ‚Äì then drain and set aside."
144,43,2,"Whisk all dressing ingredients together in a bowl. Place remaining ingredients in a bowl, then pour dressing over and toss to combine."
145,43,3,Slice meat across the grain into thin strips. Serve meat with salad on the side.
146,44,1,"Preheat oven 200¬8C (390¬8F). Squeeze enough lime quarters to yield 2 tablespoons lime juice, and reserve the others. "
147,44,2,"In a small bowl, combine the sesame seeds. Sprinkle seeds over fish, then transfer fillets to a baking tray. Bake for 10 minutes, or until cooked - when cooked, the flesh will flake away easily when pressed with a fork."
148,44,3,"Meanwhile, heat oil in large frying pan or wok over high heat. Add garlic, ginger and spring onions and cook for 2 minutes, or until onions are soft. Add mushrooms and bok choy and toss together. Add lime juice, oyster sauce and water and stir-fry for 2‚Äì3 minutes. Finally, toss through coriander. Place stir-fried mushrooms on plates and top with ocean trout. Serve the remaining lime wedges on the side."
149,45,1,Preheat oven to 200¬8C (390¬8F).
150,45,2,"Spread pita breads with tomato paste and sprinkle with oregano. Divide tomato and zucchini between pitas, add a layer of sliced chicken and crumble feta or mozzarella over the top. Bake for 10 minutes."
151,45,3,Serve topped with rocket leaves and a drizzle of olive oil and with a salad alongside.
152,46,1,Mix patty ingredients thoroughly in a large bowl. Form mixture into 4 patties. Cover with plastic wrap and chill for 10 minutes in the refrigerator.
153,46,2,Heat a grill plate or barbecue grill to hot. Grill patties for6 minutes each side or until cooked through.
154,46,3,"Meanwhile, cut bread rolls in half and top one half with tomato, cucumber, salad leaves and beetroot. Add a cooked burger to each and top with tomato sauce. Replace top half of roll and eat immediately."
155,46,4,Serve with a green salad.
156,47,1,"In a large saucepan, bring chicken stock and water to a boil. Add vegetables and spices and bring back to a boil. Reduce heat and simmer for 20 minutes, or until vegetables are soft."
157,47,2,"Allow to cool, then puree using a blender or hand-held processor. Season to taste."
158,47,3,Reheat soup. Serve topped with coriander.
159,48,1,"To make corn salsa, preheat grill plate or barbecue grill to high. Lightly brush corn with half the oil, then grill, turning occasionally, for 10 minutes, or until lightly browned all over. Remove from the grill and allow to cool. Cut kernels from cobs and transfer kernels to a small bowl. Add remaining oil plus coriander, mint, onion and lime juice, and toss to combine."
160,48,2,"To serve, spread 1 tablespoon of sour cream down the centre of each tortilla. Top sour cream with a small handful of lettuce, some chopped tomato and a quarter of the sliced chicken, leaving a little room at the top and bottom of the tortilla. Spoon a quarter of the corn salsa on top. Fold up bottom of tortilla, then wrap each side over the tortilla. You should have a neat, tight wrap. Repeat with the remaining tortillas and serve immediately."
161,49,1,"Place all marinade ingredients in a bowl. Add calamari and spring onions, and toss to coat thoroughly. Cover bowl and refrigerate for 20 minutes."
162,49,2,"Meanwhile, make the salad by tossing together all the ingredients in a large bowl."
163,49,3,"Heat peanut oil in a large heavy-based frying pan or wok over very high heat. When the oil is smoking, tip in the calamari mixture and stir-fry for 5 minutes, or until cooked. Serve salad topped with calamari, with lime wedges on the side, and scattered with coriander."
164,50,1,"Mix marinade ingredients in a bowl. Add beef, turning to coat thoroughly, then cover bowl and allow beef to marinate for 10‚Äì15 minutes."
165,50,2,Preheat oven to 180¬8C (350¬8F).
166,50,3,"Place pumpkin in a bowl with sesame oil and toss to coat. Tip pumpkin onto a baking tray and roast for 20 minutes, or until soft and golden. Add capsicum and roast for a further 5 minutes. Remove from oven and set aside."
167,50,4,"Preheat a grill plate or barbecue grill to high. Add beef and cook for 4 minutes each side, or until done to your liking. Remove beef from heat, cover with foil and set aside to rest for 5 minutes. Slice into thin strips."
168,50,5,"In a large bowl, toss together beef, pumpkin, capsicum, spring onions, spinach and coriander. Serve immediately."
169,51,1,Heat oven to 180 degrees C  (350 degrees F).
170,51,2,"Place capsicums, skin-side up, in a baking dish and drizzle with a little olive oil. Roast for 20 minutes. Remove from oven, cover with foil and allow to cool slightly. Peel off and remove skin and slice flesh into thick strips."
171,51,3,"Preheat grill plate or barbecue grill to high. In a bowl, toss zucchini and eggplant with half the oil. Grill vegetables until soft."
172,51,4,Heat remaining oil in a large non-stick frying pan over high heat. Add garlic and onion and saute until soft.
173,51,5,"Arrange vegetables, including tomato and basil, in layers in a non-stick baking dish, lightly seasoning every few layers. Crumble ricotta over the top and bake for 30 minutes. Allow to cool for 10 minutes before serving."
174,52,1,Preheat oven to 180¬8C (350¬8F).
175,52,2,"Place pumpkin in a bowl with half the oil and toss to coat. Transfer to a baking dish and lightly season. Bake for 20 minutes, or until soft and golden."
176,52,3,"Meanwhile, heat a non-stick grill plate or barbecue grill to high. Lightly brush salmon fillets with remaining oil. Place salmon on grill, flesh-side down, and cook for 4 minutes. Turn salmon and cook for a further 4 minutes. Remove from heat and set aside, covered."
177,52,4,"Bring a saucepan of lightly salted water to a boil. Add asparagus and blanch for 2 minutes, then drain. Arrange salmon on pumpkin slices, then top with parsley relish and add asparagus spears. Serve with lime wedges."
178,53,1,"To make meatballs, mix all ingredients except oil in a large bowl. Roll tablespoonfuls of mixture into balls and set aside. Heat oil in a large frying pan over high heat. Carefully add half the meatballs and cook, turning occasionally, for 8‚Äì10 minutes, or until browned. Remove from pan and drain on paper towel. Repeat with remaining uncooked meatballs. Do not overcrowd pan when cooking or meatballs will stew."
179,53,2,"For the soup, heat oil in a large saucepan over medium heat. Add garlic, onion, celery and carrot and cook, stirring constantly, until onion is soft. Add tomato and stock and bring to a boil. Reduce heat and simmer, covered, for 10 minutes."
180,53,3,"Add meatballs to soup and simmer, uncovered, for 3 minutes, or until meatballs are heated through. Stir through basil and season to taste."
181,54,1,"Heat a small non-stick frying pan over medium heat. Add sesame seeds and toss for 5 minutes, or until lightly toasted. Set aside."
182,54,2,Bring a little water to a simmer in a wok. Put bok choy into a bamboo steamer and place steamer in wok. Cover wok and steam bok choy for 2‚Äì3 minutes. Remove from steamer and set aside.
183,54,3,"Heat a wok or large frying pan over medium heat. Add1 teaspoon of the sesame oil and heat until smoking, then add chicken. Stir-fry for 6‚Äì8 minutes, or until chicken is cooked and golden. Remove from wok and set aside. Wipe out wok with paper towel."
184,54,4,"Return wok to heat and add remaining sesame oil. When oil is smoking, add ginger, garlic, chilli, onion and capsicum and stir-fry for 2 minutes. Return chicken to wok. Add sherry and soy sauce and stir to combine. Add bok choy and toss through."
185,54,5,"Serve sprinkled with toasted sesame seeds and with a side serve of rice from your daily bread allowance, if desired."
186,55,1,"Place veal on chopping board, cover with plastic wrap and pound with a mallet, or your fist, to a thickness of 5 mm. Lightly season and sprinkle with garlic, parsley, sage and basil. Roll each slice of veal up tightly, and secure with toothpicks."
187,55,2,"Heat oil in a large, deep-sided frying pan over high heat. Add rolls and cook, turning occasionally, for 6 minutes, or until browned on all sides. Remove from pan and set aside."
188,55,3,"Add onion and mushrooms to pan and cook over high heat for 1 minute. Mix tomato paste with water then add to pan with wine and tomato. Return veal rolls to pan, reduce heat to low and cook gently for 20 minutes, or until tender. Serve with your favourite steamed vegetables."
189,56,1,Preheat oven to 180¬8C (350¬8F). Line a baking tray with baking paper.
190,56,2,"Slice tomatoes lengthways and remove eyes. Place tomatoes, cut-side up, on prepared baking tray and season with pepper. Roast for 20 minutes. Remove from oven and allow to cool."
191,56,3,"In a bowl, mix paprika, garlic, cumin, garam marsala and oil."
192,56,4,"Heat a grill plate or barbecue grill to hot. Dip meat into spice mixture, coating evenly, then cook for 2 minutes each side for medium, or until cooked to your liking. Place steak in a warm place, or cover with foil, and set aside for 5 minutes to rest."
193,56,5,"In a small bowl, whisk all dressing ingredients together. Place onion, cucumber and rocket leaves in a bowl. Add dressing and toss to combine."
194,56,6,Layer salad on serving plates with lamb and roasted tomatoes.
195,57,1,Preheat oven to 150¬8C (300¬8F).
196,57,2,"Heat a small non-stick frying pan over medium heat. Add sesame seeds and toss for 5 minutes, or until lightly toasted. Set aside."
197,57,3,"Cut tofu into 1.5 cm slices and dab with paper towel to absorb as much water as possible. Heat half the oil in a large non-stick frying pan over high heat. Add tofu and cook for 3 minutes each side, or until golden. Transfer tofu to a serving plate and keep warm in the oven."
